district,value,name
بيروت,604088,راس النبع
بيروت,604113,ساقية الجنزير
بيروت,604059,الجناح
بيروت,604060,البسطة
بيروت,604126,فردان
بيروت,604125,بدارو
بيروت,604124,شاتيلا
بيروت,604123,صيدا
بيروت,604122,بربور
بيروت,604338,السادات
بيروت,604127,النويري
بيروت,604087,برج البراجنة
بيروت,604040,دار المريسة
بيروت,604089,حي السلم
بيروت,604090,برج ابو حيدر
بيروت,604091,الصنائع
بيروت,604092,القنطاري
بيروت,604106,الخندق الغميق
بيروت,604107,تلة الخياط
بيروت,604108,وطى المصيطبة
بيروت,604109,برج ابي حيدر
بيروت,604110,عين التينة
بيروت,604086,الكولا
بيروت,604032,المرفأ
بيروت,101001,بيروت
بيروت,604339,البسطا التحتا
بيروت,604340,مار  الياس
بيروت,604341,السراي
بيروت,604058,الحمرا
بيروت,604033,الباشورة
بيروت,604031,المدور
بيروت,604030,الرميل
بيروت,604337,قريطم
بيروت,604039,ميناء الحصن
بيروت,604035,رأس بيروت
بيروت,604128,الملا
بيروت,604038,زقاق البلاط
بيروت,604029,الأشرفية
بيروت,604037,المزرعة
بيروت,604034,الصيفي
بيروت,604036,المصيطبة
بعبدا,201066,الصفير
بعبدا,604116,بئر العبد
بعبدا,201063,الكحاله
بعبدا,201065,الاوزاعي
بعبدا,201067,المشرفية
بعبدا,604073,الكوكودي
بعبدا,604118,الصحراء
بعبدا,201064,الرويس
بعبدا,604065,الطيونة
بعبدا,604342,الحدث الشمالي
بعبدا,604343,البرامية
بعبدا,604344,قرطاضا
بعبدا,604345,مار مخايل
بعبدا,604346,عوكر
بعبدا,604075,تحويطة النهر
بعبدا,604057,جسر الباشا
بعبدا,604111,بئر حسن
بعبدا,604066,حي السلم
بعبدا,604072,ضهور شوير
بعبدا,604120,التيرو
بعبدا,604074,الرمل العالي
بعبدا,201062,شبانية
بعبدا,604084,ضهور العبادية
بعبدا,604180,حي ماضي
بعبدا,201042,بتخنيه
بعبدا,201029,خلوات فالوغا
بعبدا,201030,الخريبة
بعبدا,201031,القلعة
بعبدا,201032,بعلشميه
بعبدا,201033,رويسة البلوط
بعبدا,201034,عين موفق
بعبدا,201035,الشمسيه
بعبدا,201036,الهلالية
بعبدا,201037,قبيع
بعبدا,201038,القرية
بعبدا,201039,القصيبه
بعبدا,201055,ترشيش
بعبدا,201041,العبادية
بعبدا,604117,صحراء الشويفات
بعبدا,201043,قرنايل
بعبدا,201044,راس المتن
بعبدا,201045,صليما
بعبدا,201046,الدليبه
بعبدا,201047,بمريم
بعبدا,201048,بزبدين
بعبدا,201049,ارصون
بعبدا,201050,دير الحرف
بعبدا,201051,الكنيسة
بعبدا,201052,زندوقة
بعبدا,201053,العربانية
بعبدا,201054,كفرسلوان
بعبدا,201040,قتاله
بعبدا,201015,برج البراجنة
بعبدا,201001,فرن الشباك
بعبدا,201002,عاريا
بعبدا,201003,شويت
بعبدا,201004,راس الحرف
بعبدا,201005,حارة حمزة
بعبدا,201006,الشياح
بعبدا,201007,الغبيري
بعبدا,201008,عين الرمانة
بعبدا,201009,بطشاي
بعبدا,201010,المرداشي
بعبدا,201011,حارة الست
بعبدا,201012,وادي الدلاب
بعبدا,201061,برازيليا
