district,value,name
بيروت,10,زقاق البلاط
بيروت,12,عين المريسة
بيروت,11,ميناء الحصن
بيروت,9,المزرعة
بيروت,8,المصيطبة
بيروت,7,راس بيروت
بيروت,2,الرميل
بيروت,5,الباشورة
بيروت,4,المرفأ
بيروت,1,الاشرفية
بيروت,3,المدور
بيروت,6,الصيفي
بعبدا,6791,دير خونا
بعبدا,6790,قرنايل
بعبدا,6789,جورة ارصون
بعبدا,6788,ارصون
بعبدا,6787,بزبدين
بعبدا,6786,حاصبيا المتن
بعبدا,6785,صليما
بعبدا,6784,الدليبة
بعبدا,6783,عين حمادة
بعبدا,6780,الكنيسه
بعبدا,6781,رأس المتن
بعبدا,6792,الشميسة (غير ممسوحة)
بعبدا,6801,شبانية
بعبدا,6779,القصيبه
بعبدا,6778,زندوقه
بعبدا,6777,قرطاضة
بعبدا,6782,العربانيه
بعبدا,6802,عين موفق
بعبدا,6810,وادي الدلاب
بعبدا,6809,عين الرمانة
بعبدا,6808,الغبيري
بعبدا,6807,ترشيش (غير ممسوحة)
بعبدا,6806,جوار الجوز
بعبدا,6805,كفرسلوان(اضافة الى 4205و 4206)
بعبدا,6799,فالوغا
بعبدا,6803,مزرعة المزيرعة
بعبدا,6793,دير الحرف
بعبدا,6795,بمريم
بعبدا,6800,حمانا
بعبدا,6776,بسابا
بعبدا,6798,الخلوات
بعبدا,6796,بتخنيه
بعبدا,6794,بتبيات
بعبدا,6804,الخريبة
بعبدا,6760,بطشاي
بعبدا,6797,القلعه
بعبدا,6751,الحدث
بعبدا,6752,فرن الشباك
بعبدا,6753,برج البراجنة
بعبدا,6754,ليلكي
بعبدا,6755,حارة حريك
بعبدا,6775,قبيع
بعبدا,6750,بعبدا
بعبدا,6757,تحويطة الغدير
بعبدا,6759,المرداشي
بعبدا,6756,شياح
بعبدا,6761,وادي شحرور السفلى
بعبدا,6768,الهلاليه
بعبدا,6774,القريه
بعبدا,6773,قتاله
بعبدا,6772,رأس الحرف
بعبدا,6771,حارة حمزة
بعبدا,6758,كفرشيما
بعبدا,6769,رويسة البلوط
بعبدا,6762,وادي شحرور العليا
بعبدا,6767,العباديه
بعبدا,6766,شويت
بعبدا,6765,عاريا
بعبدا,6764,لويزة
بعبدا,6763,حارة الست
بعبدا,6770,بعلشميه
المتن,6879,القنابة
المتن,6883,عين الزيتونة
المتن,6880,بسفرين الزاهرية
المتن,6881,القعقور
المتن,6882,مار مخايل بنابيل
المتن,6884,المروج
المتن,6885,وطى المروج
المتن,6886,عين السنديانة
المتن,6887,ضهور الشوير
المتن,6888,الخنشارة
المتن,6878,زرعون
المتن,6890,عين التفاحة
المتن,6889,الجوار
المتن,6870,حملايا
المتن,6864,مار بطرس  كرم التين
المتن,6865,ساقية المسك و بحرصاف
المتن,6906,مشيخا
المتن,6866,ضهر الصوان
المتن,6891,ابو ميزان (غير ممسوحة)
المتن,6867,بكفيا
المتن,6869,المياسة
المتن,6877,الدوار
المتن,6871,عين الخروبة
المتن,6872,شويا
المتن,6873,المحيدثة
المتن,6874,عين القش
المتن,6875,زغرين
المتن,6876,العيرون
المتن,6868,وادي شاهين
المتن,6908,مرجبا
المتن,6848,نابية
المتن,6863,بيت شباب
المتن,6914,انطلياس - رابية
المتن,6915,مطيلب - رابية
المتن,6916,نقاش - رابية
المتن,6917,وقف دير مار جرجس
المتن,6918,مار يوسف البرج
المتن,6919,الشميس
المتن,6920,قنابة صليما
المتن,6913,قرنة شهوان - رابية
المتن,6912,بشلاما
المتن,6911,الخلة
المتن,6904,وادي الكرم
المتن,6909,زوق الخراب
المتن,6892,شرين
المتن,6907,زبوغا (غير ممسوحة)
المتن,6905,السفيلة
المتن,6903,المشرع
المتن,6902,بتغرين
المتن,6901,مجدل ترشيش
المتن,6900,عينطورة
المتن,6899,كفرتيه
المتن,6898,المتين (غير ممسوحة)
المتن,6897,كفر عقاب
المتن,6896,عين القبو
المتن,6895,بسكنتا
المتن,6894,عين الصفصاف
المتن,6893,مار موسى الدوار
المتن,6910,دير شمرا
المتن,6820,النقاش
المتن,6834,الحضيرة
المتن,6833,المطيلب
المتن,6832,بصاليم
المتن,6831,مزهر
المتن,6830,المجذوب
المتن,6829,بقنايا
المتن,6828,بياقوت
